start,end,length
1,1526,1525
1697,1847,150
1867,2144,277
2172,2322,150
2336,2486,150
2507,2657,150
2849,2999,150
3206,3356,150
3372,3522,150
3535,3834,299
3867,4017,150
4081,4231,150
4438,4588,150
4619,4769,150
4814,4964,150
5001,5151,150
5166,5316,150
5328,5478,150
5494,5644,150
5685,5969,284
6020,6170,150
6185,6335,150
6345,6495,150
6517,6667,150
6723,6873,150
6952,7102,150
7132,7429,297
7491,7641,150
7856,8128,272
8199,8349,150
8581,8731,150
8787,8937,150
8978,9128,150
9161,9311,150
9330,9480,150
9504,9654,150
9681,9831,150
9886,10036,150
10054,10393,339
10439,10589,150
10615,10765,150
10797,10947,150
10972,11122,150
11162,11312,150
11325,11475,150
11495,11645,150
11666,11816,150
11983,12133,150
12156,12306,150
12386,12536,150
12553,13477,924
13711,13861,150
13893,14043,150
14070,14220,150
14237,14387,150
14608,14758,150
14772,14922,150
15116,16255,1139
16653,16803,150
16860,17010,150
17038,17188,150
17222,17372,150
17396,17546,150
17553,17703,150
17755,17905,150
18038,18188,150
18210,18360,150
18569,18900,331
19246,19396,150
19560,20015,455
20040,20190,150
20381,20531,150
20541,20691,150
20711,20861,150
20885,21035,150
21055,21205,150
21208,21358,150
21396,22661,1265
22808,22958,150
23070,23220,150
23247,23397,150
23418,23568,150
23714,24501,787
24845,24995,150
25164,25314,150
25517,25667,150
25682,25832,150
25855,26005,150
26217,26367,150
26380,26530,150
26747,27111,364
27127,27277,150
27307,27457,150
27801,28088,287
28133,28283,150
28300,28450,150
28459,28609,150
29010,29160,150
29641,29791,150
29865,30671,806
30881,31031,150
31045,31195,150
31213,31363,150
31381,31531,150
32060,32210,150
32434,32584,150
32892,33042,150
33240,33390,150
33408,33558,150
33569,33719,150
33759,33909,150
33974,34238,264
34317,34467,150
34685,34835,150
34868,35018,150
35524,35674,150
35973,36123,150
36157,36307,150
37302,37452,150
37469,37619,150
37995,38145,150
38908,39198,290
40473,40623,150
40861,41011,150
41047,41197,150
41243,42515,1272
42529,42679,150
42706,43006,300
43055,43205,150
43242,44248,1006
44291,44441,150
44462,44612,150
44613,44763,150
44970,45120,150
45154,45304,150
45352,45502,150
45578,45874,296
45887,46037,150
46080,47000,920
47082,47232,150
47243,47574,331
47587,47737,150
47765,47915,150
47935,48085,150
48106,48256,150
48285,48435,150
48495,48645,150
48710,48860,150
48875,49025,150
49044,49194,150
49293,49443,150
49473,49623,150
49812,49962,150
49977,50276,299
50293,50443,150
50465,50615,150
50745,50895,150
50931,51081,150
51131,51281,150
51526,51676,150
